Common_name	Country	my_locality2	Serial_number	bams_goat_map	bams_impala_map
Blackfaced Impala	Namibia	Etosha	2085	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2085.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2085.bam
Impala	Namibia	Ovita	2624	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2624.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2624.bam
Impala	Namibia	Ovita	2625	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2625.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2625.bam
Impala	Namibia	Ovita	2626	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/2626.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/2626.bam
Impala	Namibia	Ovita	937	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/937.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/937.bam
Impala	Namibia	Ovita	939	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/939.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/939.bam
Impala	Namibia	Ovita	942	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/942.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/942.bam
Impala	Namibia	Ovita	947	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/947.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/947.bam
Impala	Namibia	Ovita	958	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/958.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/958.bam
Impala	Namibia	Ovita	959	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/959.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/959.bam
Impala	Namibia	Ovita	973	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/973.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/973.bam
Impala	Namibia	Ovita	974	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/974.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/974.bam
Impala	Tanzania	Selous	3934	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/3934.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/3934.bam
Impala	Tanzania	Selous	8515	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8515.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8515.bam
Impala	Tanzania	Selous	8516	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8516.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8516.bam
Impala	Tanzania	Selous	8517	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8517.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8517.bam
Impala	Tanzania	Selous	8518	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8518.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8518.bam
Impala	Tanzania	Selous	8519	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/8519.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/8519.bam
