GCamNaC_7979	Southern
GCamNaC_7980	Southern
GCamNaC_7981	Southern
GCamNaC_7982	Southern
GCamNaN_2310	Southern
GCamNaN_2318	Southern
GCamNaNENP11	Southern
GCamNaNENP16	Southern
GCamNaNENP19	Southern
GCamNaNENP20	Southern
GCamNaWNB102	Southern
GCamNaWNB110	Southern
GCamCdEGNP01	Northern
GCamCdEGNP04	Northern
GCamCdEGNP05	Northern
GCamSsC_SNR2	Northern
GCamTzC_9074	Masai
GCamTzC_9108	Masai
GCamTzC_9110	Masai
GCamTzESGR01	Masai
GCamTzESGR05	Masai
GCamTzESGR07	Masai
GCamTzESGR13	Masai
GCamTzESGR14	Masai
GCamEtW_ETH1	Northern
GCamEtW_ETH2	Northern
GCamEtW_ETH3	Northern
GCamKeW_7737	Northern
GCamUgN_1236	Northern
GCamUgW_MF22	Northern
GCamUgW_MF24	Northern
GCamKeC_7725	Reticulated
GCamKeC_7726	Reticulated
GCamKeC_7727	Reticulated
GCamKeC_7728	Reticulated
GCamKeC_7729	Reticulated
GCamKeC_7730	Reticulated
GCamKeC_7731	Reticulated
GCamKeC_7733	Reticulated
GCamKeC_7734	Reticulated
GCamKeC_7735	Reticulated
GCamKeEISC04	Reticulated
GCamKeEISC08	Reticulated
GCamZmS_SUN3	Southern
GCamZwS_1545	Southern
GCamZwS_1547	Southern
GCamZwS_1548	Southern
GCamZwS_1550	Southern
GCamZwS_1551	Southern
GCamZwS_1552	Southern
GCamZwS_1554	Southern
GCamZwS_1555	Southern
GCamZwS_1556	Southern
GCamZwS_1557	Southern
GCamBwN__573	Southern
GCamBwN__574	Southern
GCamBwN__575	Southern
GCamBwN__V23	Southern
GCamBwN_2253	Southern
GCamNaEBNP02	Southern
GCamZmSTNP09	Southern
GCamZw___568	Southern
GCamNeWWA720	Northern
GCamNeWWA733	Northern
GCamNeWWA806	Northern
GCamNeWWA808	Northern
